"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate","Treatment","Degree"
370,625,0.973822246469214,0.96391472204381,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
380,625,0.973740278455938,0.963881418771484,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
390,625,0.975393388090919,0.966589500868775,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
400,625,0.977149026317934,0.969930475711186,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
410,625,0.978796263677435,0.972505107761967,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
420,625,0.980168886001949,0.975367437100566,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
430,625,0.980112598385559,0.975574173591991,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
440,625,0.978625039819528,0.97387954588837,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
450,625,0.97615271769305,0.970902003585819,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
460,625,0.973828355306131,0.967917095421506,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
470,625,0.972264781499401,0.965962673734048,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
480,625,0.972008366048088,0.966122536597493,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
490,625,0.970948745625439,0.965168022799979,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
500,625,0.971443422572127,0.965045139492345,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
510,625,0.973799155164431,0.966273270747946,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
520,625,0.975935490972242,0.96953363424881,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
530,625,0.977070460927456,0.971403249965068,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
540,625,0.979878778620248,0.974782206532597,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
550,625,0.982745064981592,0.978987407060954,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
560,625,0.985887574131852,0.983477455164926,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
570,625,0.987723120622317,0.986129868119288,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
580,625,0.989688604058828,0.98882090698179,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
590,625,0.991089484175043,0.990718519187955,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
600,625,0.992546941328062,0.992080469053049,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
610,625,0.992171644887286,0.991610876871945,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
620,625,0.989329066893523,0.988378569677346,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
630,625,0.987334593877755,0.986138176855195,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
640,625,0.985578662720823,0.984099809286816,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
650,625,0.984951593187255,0.983519285856454,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
660,625,0.982120593902301,0.980028171746487,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
670,625,0.980016395556172,0.977476173678904,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
