"Time","N","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
590,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
600,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
610,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
620,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
630,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
640,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
650,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
660,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
670,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
680,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
690,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
700,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
710,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
720,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
730,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
740,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
750,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
760,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
770,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
780,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
790,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
800,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
810,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
